timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778662410364,2470,T01_Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Virtual Student 1-1,,true,,2878,348,1,1,null,0,1567,1757
1778662410446,2470,POST API Login,200,OK,Virtual Student 1-1,text,true,,2878,348,1,1,https://ilmu-dev.tmrnd.dev/usermgmt/v1/auth/token,2470,0,1757
1778662414404,4109,T02_Learning_Assessment,200,"Number of samples in transaction : 6, number of failing samples : 0",Virtual Student 1-1,,true,,67800,10124,1,1,null,0,224,0
1778662414405,660,GET Learning Assessment Page/API,200,OK,Virtual Student 1-1,text,true,,793,2032,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/status/PERSONALIZED_LEARNING_V1,660,0,0
1778662415065,513,GET Questionnaire Page,200,OK,Virtual Student 1-1,text,true,,2637,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1,513,0,0
1778662415579,562,POST User Questionnaire Session ID,200,OK,Virtual Student 1-1,text,true,,745,2055,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/start,562,0,0
1778662416142,567,GET newUserQuestionnaire Page,200,OK,Virtual Student 1-1,text,true,,720,2005,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/user-questionnaires/1576,566,0,0
1778662416710,1781,GET All Questions,200,OK,Virtual Student 1-1,text,true,,62905,2016,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/questionnaires/1/questions?limit=26,705,0,0
1778662418711,26,Log Assessment Completion & Summary,200,Assessment complete - all 26 answers submitted,Virtual Student 1-1,text,true,,0,0,1,1,null,0,0,0
1778662418739,41259,T03_Learning_Space,200,"Number of samples in transaction : 41, number of failing samples : 0",Virtual Student 1-1,,true,,807195,136439,1,1,null,0,153,0
1778662418741,595,GET Subscription Active,200,OK,Virtual Student 1-1,text,true,,4181,2088,1,1,https://ilmu-dev.tmrnd.dev/subscription/v1/user-subscriptions/me/active,594,0,0
1778662419336,537,GET Tags By SubjectIds,200,OK,Virtual Student 1-1,text,true,,713,2102,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources/tags?subjectIds=2,14,15,6,7",537,0,0
1778662419874,529,GET Textbook Learning Resources,200,OK,Virtual Student 1-1,text,true,,1607,2137,1,1,"https://ilmu-dev.tmrnd.dev/learning/v1/learning-resources?resourceType=TEXTBOOK&subjectIds=2,14,15,6,7&limit=12&offset=0",528,0,0
1778662420404,852,GET Navigate TextBook BM,200,OK,Virtual Student 1-1,text,true,,53076,2087,1,1,https://ilmu-dev.tmrnd.dev/learning/v1/textbooks/courses/14/navigation,764,0,0
1778662421257,485,GET Learning TextBook BM PT1,200,OK,Virtual Student 1-1,text,true,,1046,2086,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/405/page-content,484,0,0
1778662421743,535,GET Learning TextBook BM PT4,200,OK,Virtual Student 1-1,text,true,,1046,2086,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/447/page-content,535,0,0
1778662422279,516,GET Learning TextBook BM PT8,200,OK,Virtual Student 1-1,text,true,,1046,2086,1,1,https://ilmu-dev.tmrnd.dev/%20/learning/v1/textbooks/505/page-content,515,0,0
